the_sea_fairies_01_f000001|THE oceans are big and broad.|THE oceans are big and broad.
the_sea_fairies_15_f000114|There were six of them, slender and black as coal, and each extended twelve to fifteen feet from its body when stretched out in a straight line.|There were six of them, slender and black as coal, and each extended twelve to fifteen feet from its body when stretched out in a straight line.
the_sea_fairies_15_f000115|They were hinged in several places so they could be folded up or extended at will.|They were hinged in several places so they could be folded up or extended at will.
the_sea_fairies_15_f000116|At the ends of these thin legs were immense claws shaped like those of a lobster, and they were real nippers of a most dangerous sort.|At the ends of these thin legs were immense claws shaped like those of a lobster, and they were real nippers of a most dangerous sort.
the_sea_fairies_15_f000117|The prisoners knew, as soon as they saw the awful claws, why the thing was called the Yell-Maker, and Trot gave a little shiver and crept closer to Captain Bill.|The prisoners knew, as soon as they saw the awful claws, why the thing was called the Yell-Maker, and Trot gave a little shiver and crept closer to Captain Bill.
the_sea_fairies_15_f000118|Zog looked with approval upon the creature he had summoned and said to it, I give you four victims, the four people with fish's tails.|Zog looked with approval upon the creature he had summoned and said to it, I give you four victims, the four people with fish's tails.
the_sea_fairies_15_f000119|Let me hear how loud they can yell.|Let me hear how loud they can yell.
the_sea_fairies_15_f000120|The Yell-Maker uttered a grunt of pleasure and in a flash stretched out one of its long legs toward the queen's nose, where its powerful claws came together with a loud noise.|The Yell-Maker uttered a grunt of pleasure and in a flash stretched out one of its long legs toward the queen's nose, where its powerful claws came together with a loud noise.
the_sea_fairies_15_f000121|Aquareine did not stir; she only smiled.|Aquareine did not stir; she only smiled.
the_sea_fairies_15_f000122|Both Zog and the creature that had attacked her seemed much surprised to find she was unhurt.|Both Zog and the creature that had attacked her seemed much surprised to find she was unhurt.
the_sea_fairies_15_f000123|Again! cried Zog, and again the Yell-Maker's claw shot out and tried to pinch the queen's pretty ear.|Again! cried Zog, and again the Yell-Maker's claw shot out and tried to pinch the queen's pretty ear.
the_sea_fairies_15_f000124|But the magic of the fairy mermaid was proof against this sea-rascal's strength and swiftness, nor could he touch any part of Aquareine, although he tried again and again,|But the magic of the fairy mermaid was proof against this sea-rascal's strength and swiftness, nor could he touch any part of Aquareine, although he tried again and again,
the_sea_fairies_15_f000125|roaring with anger like a mad bull.|roaring with anger like a mad bull.
the_sea_fairies_15_f000126|Trot began to enjoy this performance, and as her merry, childish laughter rang out, the Yell-Maker turned furiously upon the little girl, two of the dreadful claws trying to nip her at the same time.|Trot began to enjoy this performance, and as her merry, childish laughter rang out, the Yell-Maker turned furiously upon the little girl, two of the dreadful claws trying to nip her at the same time.
the_sea_fairies_15_f000127|She had no chance to cry out or jump backward, yet she remained unharmed.|She had no chance to cry out or jump backward, yet she remained unharmed.
the_sea_fairies_15_f000128|For the Fairy Circle of Queen Aquareine kept her safe.|For the Fairy Circle of Queen Aquareine kept her safe.
the_sea_fairies_15_f000129|Now Captain Bill was attacked, and Princess Clia as well.|Now Captain Bill was attacked, and Princess Clia as well.
the_sea_fairies_15_f000130|The half-dozen slender legs darted in every direction like sword thrusts to reach their victims, and the cruel claws snapped so rapidly that the sound was like the rattling of castanets.|The half-dozen slender legs darted in every direction like sword thrusts to reach their victims, and the cruel claws snapped so rapidly that the sound was like the rattling of castanets.
the_sea_fairies_15_f000131|But the four prisoners regarded their enemy with smiling composure, and no yell greeted the Yell-Maker's efforts.|But the four prisoners regarded their enemy with smiling composure, and no yell greeted the Yell-Maker's efforts.
the_sea_fairies_15_f000132|Enough! said Zog, softly and sweetly.|Enough! said Zog, softly and sweetly.
the_sea_fairies_15_f000133|You may retire, my poor Yell-Maker, for with these people you are powerless.|You may retire, my poor Yell-Maker, for with these people you are powerless.
the_sea_fairies_15_f000134|The creature paused and rolled its yellow eyes.|The creature paused and rolled its yellow eyes.
the_sea_fairies_15_f000135|May I nip just one of the slaves, oh Zog?|May I nip just one of the slaves, oh Zog?
the_sea_fairies_15_f000136|it asked pleadingly.|it asked pleadingly.
the_sea_fairies_15_f000137|I hate to leave without pleasing your ears with a single yell.|I hate to leave without pleasing your ears with a single yell.
the_sea_fairies_15_f000138|Let my slaves alone, was Zog's answer.|Let my slaves alone, was Zog's answer.
the_sea_fairies_15_f000139|They are here to serve me and must not be injured.|They are here to serve me and must not be injured.
the_sea_fairies_15_f000140|Go, feeble one.|Go, feeble one.
the_sea_fairies_15_f000141|Not so! cried the Queen.|Not so! cried the Queen.
the_sea_fairies_15_f000142|It is a shame, Zog, that such an evil thing should exist in our fair sea.|It is a shame, Zog, that such an evil thing should exist in our fair sea.
the_sea_fairies_15_f000143|With this, she drew her fairy wand from a fold of her gown and waved it toward the creature.|With this, she drew her fairy wand from a fold of her gown and waved it toward the creature.
the_sea_fairies_15_f000144|At once the Yell-Maker sank down unconscious upon the floor; its legs fell apart in many pieces, the claws tumbling in a heap beside the body.|At once the Yell-Maker sank down unconscious upon the floor; its legs fell apart in many pieces, the claws tumbling in a heap beside the body.
the_sea_fairies_15_f000145|Then all grew withered and lost shape, becoming a pulpy mass, like gelatin.|Then all grew withered and lost shape, becoming a pulpy mass, like gelatin.
the_sea_fairies_15_f000146|A few moments later the creature had melted away to nothing at all, forever disappearing from the ocean where it had caused so much horror and pain.|A few moments later the creature had melted away to nothing at all, forever disappearing from the ocean where it had caused so much horror and pain.
the_sea_fairies_15_f000147|Zog watched this destruction with surprising patience.|Zog watched this destruction with surprising patience.
the_sea_fairies_15_f000148|When it was all over, he nodded his head and smiled, and Trot noticed that whenever Zog smiled, his slaves lost their jolly looks and began to tremble.|When it was all over, he nodded his head and smiled, and Trot noticed that whenever Zog smiled, his slaves lost their jolly looks and began to tremble.
the_sea_fairies_15_f000149|That is very pretty magic, Aquareine, said the monster.|That is very pretty magic, Aquareine, said the monster.
the_sea_fairies_15_f000150|I myself learned the trick several thousand years ago, so it does not astonish me.|I myself learned the trick several thousand years ago, so it does not astonish me.
the_sea_fairies_15_f000151|Have you fairies nothing that is new to show me?|Have you fairies nothing that is new to show me?
the_sea_fairies_15_f000152|We desire only to protect ourselves, replied the Queen with dignity.|We desire only to protect ourselves, replied the Queen with dignity.
the_sea_fairies_15_f000153|Then I will give you a chance to do so, said Zog.|Then I will give you a chance to do so, said Zog.
the_sea_fairies_15_f000154|As he spoke, the great marble blocks in the ceiling of the room directly over the heads of the captives gave way and came crashing down upon them.|As he spoke, the great marble blocks in the ceiling of the room directly over the heads of the captives gave way and came crashing down upon them.
the_sea_fairies_15_f000155|Many tons of weight were in these marble blocks, and the magician had planned to crush his victims where they stood.|Many tons of weight were in these marble blocks, and the magician had planned to crush his victims where they stood.
the_sea_fairies_15_f000156|But the four were still unharmed.|But the four were still unharmed.
the_sea_fairies_15_f000157|The marble, being unable to touch them, was diverted from its course, and when the roar of the great crash had died away,|The marble, being unable to touch them, was diverted from its course, and when the roar of the great crash had died away,
the_sea_fairies_15_f000158|Zog saw his intended victims standing quietly in their places and smiling scornfully at his weak attempts to destroy them.|Zog saw his intended victims standing quietly in their places and smiling scornfully at his weak attempts to destroy them.
the_sea_fairies_16_f000001|Captain Bill's heart was beating pretty vast, but he did not let Zog know that.|Captain Bill's heart was beating pretty vast, but he did not let Zog know that.
the_sea_fairies_16_f000002|Trot was so sure of the protection of the fairy mermaids that she would not allow herself to become frightened.|Trot was so sure of the protection of the fairy mermaids that she would not allow herself to become frightened.
the_sea_fairies_16_f000003|Aquareine and Clia were as calm as if nothing had happened.|Aquareine and Clia were as calm as if nothing had happened.
the_sea_fairies_16_f000004|Please excuse this little interruption, said Zog.|Please excuse this little interruption, said Zog.
the_sea_fairies_16_f000005|I knew very well the marble blocks would not hurt you.|I knew very well the marble blocks would not hurt you.
the_sea_fairies_16_f000006|But the play is over for a time.|But the play is over for a time.
the_sea_fairies_16_f000007|You may now retire to your rooms, and when I again invite you to my presence, I shall have found some better ways to entertain you.|You may now retire to your rooms, and when I again invite you to my presence, I shall have found some better ways to entertain you.
the_sea_fairies_16_f000008|Without reply to this threat, they turned and followed Sacho from the hall, and the boy led them straight back to their own rooms.|Without reply to this threat, they turned and followed Sacho from the hall, and the boy led them straight back to their own rooms.
the_sea_fairies_16_f000009|Zog is making a great mistake, said Sacho with a laugh.|Zog is making a great mistake, said Sacho with a laugh.
the_sea_fairies_16_f000010|He has no time for vengeance, but the great magician does not know that.|He has no time for vengeance, but the great magician does not know that.
the_sea_fairies_16_f000011|What is he trying to do, anyway? asked Trot.|What is he trying to do, anyway? asked Trot.
the_sea_fairies_16_f000012|He does not tell me all his secrets, but I've an idea he wants to kill you, replied Sacho.|He does not tell me all his secrets, but I've an idea he wants to kill you, replied Sacho.
the_sea_fairies_16_f000013|How absurd it is to be plotting such a thing when he might spend his time in laughing and being jolly!|How absurd it is to be plotting such a thing when he might spend his time in laughing and being jolly!
the_sea_fairies_16_f000014|Isn't it, now?|Isn't it, now?
the_sea_fairies_16_f000015|Zog is a wicked, wicked creature!|Zog is a wicked, wicked creature!
the_sea_fairies_16_f000016|exclaimed Trot.|exclaimed Trot.
the_sea_fairies_16_f000017|But he had his good points, replied Sacho cheerfully.|But he had his good points, replied Sacho cheerfully.
the_sea_fairies_16_f000018|There is no one about in the world so bad that there is nothing good about him.|There is no one about in the world so bad that there is nothing good about him.
the_sea_fairies_16_f000019|I'm not so sure of that, said Captain Bill.|I'm not so sure of that, said Captain Bill.
the_sea_fairies_16_f000020|What are Zog's good points?|What are Zog's good points?
the_sea_fairies_16_f000021|All his slaves were saved from drowning, and he is kind to them, said Sacho.|All his slaves were saved from drowning, and he is kind to them, said Sacho.
the_sea_fairies_16_f000022|That is merely the kindness of selfishness, said Aquareine.|That is merely the kindness of selfishness, said Aquareine.
the_sea_fairies_16_f000023|Tell me, my lad, is the opening in the great dome outside guarded?|Tell me, my lad, is the opening in the great dome outside guarded?
the_sea_fairies_16_f000024|Yes indeed, was the reply.|Yes indeed, was the reply.
the_sea_fairies_16_f000025|You cannot hope to escape in that way, for the prince of the sea devils, who is the largest and fiercest of his race, lies crouched over the opening night and day,|You cannot hope to escape in that way, for the prince of the sea devils, who is the largest and fiercest of his race, lies crouched over the opening night and day,
the_sea_fairies_16_f000026|and none can pass his network of curling legs.|and none can pass his network of curling legs.
the_sea_fairies_16_f000027|Is there no avenue that is not guarded?|Is there no avenue that is not guarded?
the_sea_fairies_16_f000028|continued Aquareine.|continued Aquareine.
the_sea_fairies_16_f000029|None at all, your Majesty.|None at all, your Majesty.
the_sea_fairies_16_f000030|Zog is always careful to be well guarded, for he fears the approach of an enemy.|Zog is always careful to be well guarded, for he fears the approach of an enemy.
the_sea_fairies_16_f000031|What this enemy can be to terrify the great magician I do not know, but Zog is always afraid and never leaves an entrance unguarded.|What this enemy can be to terrify the great magician I do not know, but Zog is always afraid and never leaves an entrance unguarded.
the_sea_fairies_16_f000032|Besides, it is an enchanted castle, you know, and none in the ocean can see it unless Zog wishes him to.|Besides, it is an enchanted castle, you know, and none in the ocean can see it unless Zog wishes him to.
the_sea_fairies_16_f000033|So it will be very hard for his enemy to find him.|So it will be very hard for his enemy to find him.
the_sea_fairies_16_f000034|We wish to escape, said Clia.|We wish to escape, said Clia.
the_sea_fairies_16_f000035|Will you help us, Sacho?|Will you help us, Sacho?
the_sea_fairies_16_f000036|In any way I can, replied the boy.|In any way I can, replied the boy.
the_sea_fairies_16_f000037|If we succeed, we will take you with us, continued the Princess.|If we succeed, we will take you with us, continued the Princess.
the_sea_fairies_16_f000038|But Sacho shook his head and laughed.|But Sacho shook his head and laughed.
the_sea_fairies_16_f000039|I would indeed like to see you escape Zog's vengeance, said he, for vengeance is wrong, and you are too pretty and too good to be destroyed.|I would indeed like to see you escape Zog's vengeance, said he, for vengeance is wrong, and you are too pretty and too good to be destroyed.
the_sea_fairies_16_f000040|But I am happy here and have no wish to go away, having no other home or friends other than my fellow slaves.|But I am happy here and have no wish to go away, having no other home or friends other than my fellow slaves.
the_sea_fairies_16_f000041|Then he left them, and when they were again alone, Aquareine said, We were able to escape Zog's attacks today, but I am quite sure he will plan more powerful ways to destroy us.|Then he left them, and when they were again alone, Aquareine said, We were able to escape Zog's attacks today, but I am quite sure he will plan more powerful ways to destroy us.
the_sea_fairies_16_f000042|He has shown that he knows some clever magic, and perhaps I shall not be able to foil it.|He has shown that he knows some clever magic, and perhaps I shall not be able to foil it.
the_sea_fairies_16_f000043|So it will be well for us to escape tonight if possible.|So it will be well for us to escape tonight if possible.
the_sea_fairies_16_f000044|Can you fight and conquer the big sea devil up in the dome? asked Trot.|Can you fight and conquer the big sea devil up in the dome? asked Trot.
the_sea_fairies_16_f000045|The queen was thoughtful, and did not reply to this question at once.|The queen was thoughtful, and did not reply to this question at once.
the_sea_fairies_16_f000046|But Captain Bill said uneasily, I candt abide them devil critters, and I hopes, for my part, we won't be called on to tackle them.|But Captain Bill said uneasily, I candt abide them devil critters, and I hopes, for my part, we won't be called on to tackle them.
the_sea_fairies_16_f000047|You see, Trot, we're in consider'ble of a bad mess, and if we ever live to tell the tale Why not, Captain? asked the child.|You see, Trot, we're in consider'ble of a bad mess, and if we ever live to tell the tale Why not, Captain? asked the child.
the_sea_fairies_16_f000048|We're safe enough so far.|We're safe enough so far.
the_sea_fairies_16_f000049|Candt you trust our good friend, the queen?|Candt you trust our good friend, the queen?
the_sea_fairies_16_f000050|She don't seem plumb sure o' things herself, remarked the sailor.|She don't seem plumb sure o' things herself, remarked the sailor.
the_sea_fairies_16_f000051|The mermaids is all right and friendly, mate, but this 'ere magic maker, ol' Zog, is a bad one, out 'n' out, and means to kill us if he can.|The mermaids is all right and friendly, mate, but this 'ere magic maker, ol' Zog, is a bad one, out 'n' out, and means to kill us if he can.
the_sea_fairies_16_f000052|But he candt! cried Trot bravely.|But he candt! cried Trot bravely.
the_sea_fairies_16_f000053|I hope you're right, dear.|I hope you're right, dear.
the_sea_fairies_16_f000054|I wouldn't want to bet on Zog's chances jes' yet, and at the same time it would be riskin' money to bet on our chances.|I wouldn't want to bet on Zog's chances jes' yet, and at the same time it would be riskin' money to bet on our chances.
the_sea_fairies_16_f000055|Seems to me it's a case of luck which wins.|Seems to me it's a case of luck which wins.
the_sea_fairies_16_f000056|Don't worry, friend, said the Queen.|Don't worry, friend, said the Queen.
the_sea_fairies_16_f000057|I have a plan to save us.|I have a plan to save us.
the_sea_fairies_16_f000058|Let us wait patiently until nightfall.|Let us wait patiently until nightfall.
the_sea_fairies_16_f000059|They waited in the Rose Chamber a long time, talking earnestly together, but the brilliant light that flooded both the room and the great dome outside did not fade in the least.|They waited in the Rose Chamber a long time, talking earnestly together, but the brilliant light that flooded both the room and the great dome outside did not fade in the least.
the_sea_fairies_16_f000060|After several hours had passed away, the gong sounded and Tom Atto again appeared, followed by four slaves bearing many golden dishes upon silver trays.|After several hours had passed away, the gong sounded and Tom Atto again appeared, followed by four slaves bearing many golden dishes upon silver trays.
the_sea_fairies_16_f000061|The friendly cook had prepared a fine dinner, and they were all glad to find that, whatever Zog intended to do to them, he had no intention of starving them.|The friendly cook had prepared a fine dinner, and they were all glad to find that, whatever Zog intended to do to them, he had no intention of starving them.
the_sea_fairies_16_f000062|Perhaps the magician realized that Aquareine's fairy powers, if put to the test, would be able to provide food for her companions, but whatever his object may have been,|Perhaps the magician realized that Aquareine's fairy powers, if put to the test, would be able to provide food for her companions, but whatever his object may have been,
the_sea_fairies_16_f000063|their enemy had given them splendid rooms and plenty to eat.|their enemy had given them splendid rooms and plenty to eat.
the_sea_fairies_16_f000064|Isn't it nearly nighttime? asked the Queen as Tom Atto spread the table with a cloth of woven seaweed and directed his men to place the dishes upon it.|Isn't it nearly nighttime? asked the Queen as Tom Atto spread the table with a cloth of woven seaweed and directed his men to place the dishes upon it.
the_sea_fairies_16_f000065|Night!|Night!
the_sea_fairies_16_f000066|he exclaimed as if surprised.|he exclaimed as if surprised.
the_sea_fairies_16_f000067|There is no night here.|There is no night here.
the_sea_fairies_16_f000068|Doesn't it ever get dark?|Doesn't it ever get dark?
the_sea_fairies_16_f000069|inquired Trot.|inquired Trot.
the_sea_fairies_16_f000070|Never.|Never.
the_sea_fairies_16_f000071|We know nothing of the passage of time or of day or night.|We know nothing of the passage of time or of day or night.
the_sea_fairies_16_f000072|The light always shines just as you see it now, and we sleep whenever we are tired and rise again as soon as we are rested.|The light always shines just as you see it now, and we sleep whenever we are tired and rise again as soon as we are rested.
the_sea_fairies_16_f000073|What causes the light?|What causes the light?
the_sea_fairies_16_f000074|Princess Clia asked.|Princess Clia asked.
the_sea_fairies_16_f000075|It's magic, your Highness, said the cook solemnly.|It's magic, your Highness, said the cook solemnly.
the_sea_fairies_16_f000076|It's one of the curious things Zog is able to do.|It's one of the curious things Zog is able to do.
the_sea_fairies_16_f000077|But you must remember all this place is a big cave in which the castle stands, so the light is never seen by anyone except those who live here.|But you must remember all this place is a big cave in which the castle stands, so the light is never seen by anyone except those who live here.
the_sea_fairies_16_f000078|But why does Zog keep his light going all the time? asked the Queen.|But why does Zog keep his light going all the time? asked the Queen.
the_sea_fairies_16_f000079|I suppose it is because he himself never sleeps, replied Tom Atto.|I suppose it is because he himself never sleeps, replied Tom Atto.
the_sea_fairies_16_f000080|They say the master hasn't slept for hundreds of years, not since Anko, the sea serpent, defeated him and drove him into this place.|They say the master hasn't slept for hundreds of years, not since Anko, the sea serpent, defeated him and drove him into this place.
the_sea_fairies_16_f000081|They asked no more questions and began to eat their dinner in silence.|They asked no more questions and began to eat their dinner in silence.
the_sea_fairies_16_f000082|Before long, Captain Joe came in to visit his brother and took a seat at the table with the prisoners.|Before long, Captain Joe came in to visit his brother and took a seat at the table with the prisoners.
the_sea_fairies_16_f000083|He proved a jolly fellow, and when he and Captain Bill talked about their boyhood days, the stories were so funny that everybody laughed and for a time forgot their worries.|He proved a jolly fellow, and when he and Captain Bill talked about their boyhood days, the stories were so funny that everybody laughed and for a time forgot their worries.
the_sea_fairies_16_f000084|When dinner was over, however, and Captain Joe had gone back to his work of sewing on buttons and the servants had carried away the dishes, the prisoners remembered their troubles and the fate that awaited them.|When dinner was over, however, and Captain Joe had gone back to his work of sewing on buttons and the servants had carried away the dishes, the prisoners remembered their troubles and the fate that awaited them.
the_sea_fairies_16_f000085|I am much disappointed, said the Queen, to find there is no night here and that Zog never sleeps.|I am much disappointed, said the Queen, to find there is no night here and that Zog never sleeps.
the_sea_fairies_16_f000086|It will make our escape more difficult.|It will make our escape more difficult.
the_sea_fairies_16_f000087|Yet we must make the attempt, and as we are tired and a great struggle is before us, it will be best for us to sleep and refresh ourselves.|Yet we must make the attempt, and as we are tired and a great struggle is before us, it will be best for us to sleep and refresh ourselves.
the_sea_fairies_16_f000088|They agreed to this, for the day had been long and adventurous, so Captain Bill kissed Trot and went in to the Peony Room, where he lay down upon his spongy couch and fell fast asleep.|They agreed to this, for the day had been long and adventurous, so Captain Bill kissed Trot and went in to the Peony Room, where he lay down upon his spongy couch and fell fast asleep.
the_sea_fairies_16_f000089|The mermaids and Trot followed this example, and I think none of them was much worried, after all, because they quickly sank into peaceful slumber and forgot all the dangers that threatened them.|The mermaids and Trot followed this example, and I think none of them was much worried, after all, because they quickly sank into peaceful slumber and forgot all the dangers that threatened them.
the_sea_fairies_17_f000001|CHAPTER 17 THE QUEEN'S GOLDEN SWORD.|CHAPTER seventeen THE QUEEN'S GOLDEN SWORD.
the_sea_fairies_17_f000002|Goodness me!|Goodness me!
the_sea_fairies_17_f000003|exclaimed Trot, raising herself by a flirt of her pink-scaled tail and a wave of her fins, isn't it dreadful hot here?|exclaimed Trot, raising herself by a flirt of her pink-scaled tail and a wave of her fins, isn't it dreadful hot here?
the_sea_fairies_17_f000004|The mermaids had risen at the same time, and Captain Bill came swimming in from the Peony Room in time to hear the little girl's speech.|The mermaids had risen at the same time, and Captain Bill came swimming in from the Peony Room in time to hear the little girl's speech.
the_sea_fairies_17_f000005|Hot!|Hot!
the_sea_fairies_17_f000006|echoed the sailor.|echoed the sailor.
the_sea_fairies_17_f000007|Why, I feel like the inside of a steam engine!|Why, I feel like the inside of a steam engine!
the_sea_fairies_17_f000008|The perspiration was rolling down his round, red face, and he took out his handkerchief and carefully wiped it away, waving his fish tail gently at the same time.|The perspiration was rolling down his round, red face, and he took out his handkerchief and carefully wiped it away, waving his fish tail gently at the same time.
the_sea_fairies_17_f000009|What we need most in this room, said he, is a fan.|What we need most in this room, said he, is a fan.
the_sea_fairies_17_f000010|What's the trouble, do you s'pose?|What's the trouble, do you s'pose?
the_sea_fairies_17_f000011|inquired Trot.|inquired Trot.
the_sea_fairies_17_f000012|It is another trick of the monster Zog, answered the Queen calmly.|It is another trick of the monster Zog, answered the Queen calmly.
the_sea_fairies_17_f000013|He has made the water in our rooms boiling hot, and if it could touch us, we would be well cooked by this time.|He has made the water in our rooms boiling hot, and if it could touch us, we would be well cooked by this time.
the_sea_fairies_17_f000014|Even as it is, we are all made uncomfortable by breathing the heated air.|Even as it is, we are all made uncomfortable by breathing the heated air.
the_sea_fairies_17_f000015|What shall we do, ma'am?|What shall we do, ma'am?
the_sea_fairies_17_f000016|the sailor man asked with a groan.|the sailor man asked with a groan.
the_sea_fairies_17_f000017|I expected to get into hot water afore we've done with this foolishness, but I don't like the feel o' bein' parboiled, jes' the same.|I expected to get into hot water afore we've done with this foolishness, but I don't like the feel o' bein' parboiled, jes' the same.
the_sea_fairies_17_f000018|The queen was waving her fairy wand and paid no attention to Captain Bill's moans.|The queen was waving her fairy wand and paid no attention to Captain Bill's moans.
the_sea_fairies_17_f000019|Already the water felt cooler, and they began to breathe more easily.|Already the water felt cooler, and they began to breathe more easily.
the_sea_fairies_17_f000020|In a few moments more, the heat had passed from the surrounding water altogether, and all danger from this source was over.|In a few moments more, the heat had passed from the surrounding water altogether, and all danger from this source was over.
the_sea_fairies_17_f000021|This is better, said Trot gratefully.|This is better, said Trot gratefully.
the_sea_fairies_17_f000022|Do you care to sleep again? asked the Queen.|Do you care to sleep again? asked the Queen.
the_sea_fairies_17_f000023|No, I'm wide awake now, answered the child.|No, I'm wide awake now, answered the child.
the_sea_fairies_17_f000024|I'm afraid if I goes to sleep ag'in, I'll wake up a pot roast, said Captain Bill.|I'm afraid if I goes to sleep ag'in, I'll wake up a pot roast, said Captain Bill.
the_sea_fairies_17_f000025|Let us consider ways to escape, suggested Clia.|Let us consider ways to escape, suggested Clia.
the_sea_fairies_17_f000026|It seems useless for us to remain here quietly until Zog discovers a way to destroy us.|It seems useless for us to remain here quietly until Zog discovers a way to destroy us.
the_sea_fairies_17_f000027|But we must not blunder, added Aquareine cautiously.|But we must not blunder, added Aquareine cautiously.
the_sea_fairies_17_f000028|To fail in our attempt would be to acknowledge Zog's superior power, so we must think well upon our plan before we begin to carry it out.|To fail in our attempt would be to acknowledge Zog's superior power, so we must think well upon our plan before we begin to carry it out.
the_sea_fairies_17_f000029|What do you advise, sir? she asked, turning to Captain Bill.|What do you advise, sir? she asked, turning to Captain Bill.
the_sea_fairies_17_f000030|My opinion, ma'am, is that the only way for us to escape is to get out o' here, was the sailor's vague answer.|My opinion, ma'am, is that the only way for us to escape is to get out o' here, was the sailor's vague answer.
the_sea_fairies_17_f000031|How to do it is your business, seein' as I ain't no fairy myself, either in looks or in eddication.|How to do it is your business, seein' as I ain't no fairy myself, either in looks or in eddication.
the_sea_fairies_17_f000032|The queen smiled and said to Trot, What is your opinion, my dear?|The queen smiled and said to Trot, What is your opinion, my dear?
the_sea_fairies_17_f000033|I think we might swim out the same way we came in, answered the child.|I think we might swim out the same way we came in, answered the child.
the_sea_fairies_17_f000034|If we could get Sacho to lead us back through the maze, we would follow that long tunnel to the open ocean, and And there would be the sea devils waitin' for us,|If we could get Sacho to lead us back through the maze, we would follow that long tunnel to the open ocean, and And there would be the sea devils waitin' for us,
the_sea_fairies_17_f000035|added Captain Bill with a shake of his bald head.|added Captain Bill with a shake of his bald head.
the_sea_fairies_17_f000036|They'd drive us back inter the tunnel like they did the first time, Trot.|They'd drive us back inter the tunnel like they did the first time, Trot.
the_sea_fairies_17_f000037|It won't do, mate, it won't do.|It won't do, mate, it won't do.
the_sea_fairies_17_f000038|Have you a suggestion, Clia?|Have you a suggestion, Clia?
the_sea_fairies_17_f000039|inquired the Queen.|inquired the Queen.
the_sea_fairies_17_f000040|I have thought of an undertaking, replied the pretty princess, but it is a bold plan, your Majesty, and you may not care to risk it.|I have thought of an undertaking, replied the pretty princess, but it is a bold plan, your Majesty, and you may not care to risk it.
the_sea_fairies_17_f000041|Let us hear it, anyway, said Aquareine encouragingly.|Let us hear it, anyway, said Aquareine encouragingly.
the_sea_fairies_17_f000042|It is to destroy Zog himself and put him out of the world forever.|It is to destroy Zog himself and put him out of the world forever.
the_sea_fairies_17_f000043|Then we would be free to go home whenever we pleased.|Then we would be free to go home whenever we pleased.
the_sea_fairies_17_f000044|Can you suggest a way to destroy Zog? asked Aquareine.|Can you suggest a way to destroy Zog? asked Aquareine.
the_sea_fairies_17_f000045|No, your Majesty, Clia answered.|No, your Majesty, Clia answered.
the_sea_fairies_17_f000046|I must leave the way for you to determine.|I must leave the way for you to determine.
the_sea_fairies_17_f000047|In the old days, said the Queen thoughtfully, the mighty King Anko could not destroy this monster.|In the old days, said the Queen thoughtfully, the mighty King Anko could not destroy this monster.
the_sea_fairies_17_f000048|He succeeded in defeating Zog and drove him into this great cavern, but even Anko could not destroy him.|He succeeded in defeating Zog and drove him into this great cavern, but even Anko could not destroy him.
the_sea_fairies_17_f000049|I have heard the sea serpent explain that it was because he could not reach the magician, returned Clia.|I have heard the sea serpent explain that it was because he could not reach the magician, returned Clia.
the_sea_fairies_17_f000050|If King Anko could have seized Zog in his coils, he would have made an end of the wicked monster quickly.|If King Anko could have seized Zog in his coils, he would have made an end of the wicked monster quickly.
the_sea_fairies_17_f000051|Zog knows this, and that is why he does not venture forth from his retreat.|Zog knows this, and that is why he does not venture forth from his retreat.
the_sea_fairies_17_f000052|Anko is the enemy he constantly dreads.|Anko is the enemy he constantly dreads.
the_sea_fairies_17_f000053|But with you, my queen, the case is different.|But with you, my queen, the case is different.
the_sea_fairies_17_f000054|You may easily reach Zog, and the only question is whether your power is sufficient to destroy him.|You may easily reach Zog, and the only question is whether your power is sufficient to destroy him.
the_sea_fairies_17_f000055|For a while Aquareine remained silent.|For a while Aquareine remained silent.
the_sea_fairies_17_f000056|I am not sure of my power over him, she said at last, and for that reason I hesitate to attack him personally.|I am not sure of my power over him, she said at last, and for that reason I hesitate to attack him personally.
the_sea_fairies_17_f000057|His slaves and his allies, the sea devils, I can easily conquer, so I prefer to find a way to overcome the guards at the entrances rather than to encounter their terrible master.|His slaves and his allies, the sea devils, I can easily conquer, so I prefer to find a way to overcome the guards at the entrances rather than to encounter their terrible master.
the_sea_fairies_17_f000058|But even the guards have been given strength and power by the magician, as we have already discovered, so I must procure a weapon with which to fight them.|But even the guards have been given strength and power by the magician, as we have already discovered, so I must procure a weapon with which to fight them.
the_sea_fairies_17_f000059|A weapon, ma'am? said Captain Bill, and then he took a jackknife from his coat pocket and opened the big blade, afterward handing it to the queen.|A weapon, ma'am? said Captain Bill, and then he took a jackknife from his coat pocket and opened the big blade, afterward handing it to the queen.
the_sea_fairies_17_f000060|That ain't a bad weapon, he announced.|That ain't a bad weapon, he announced.
the_sea_fairies_17_f000061|But it is useless in this case, she replied, smiling at the old sailor's earnestness.|But it is useless in this case, she replied, smiling at the old sailor's earnestness.
the_sea_fairies_17_f000062|For my purpose I must have a golden sword.|For my purpose I must have a golden sword.
the_sea_fairies_17_f000063|Well, there's plenty of gold around this castle, said Trot, looking around her.|Well, there's plenty of gold around this castle, said Trot, looking around her.
the_sea_fairies_17_f000064|Even in this room there's enough to make a hundred golden swords.|Even in this room there's enough to make a hundred golden swords.
