poisoned_pen_01_f000001|THE POISONED PEN.|THE POISONED PEN.
poisoned_pen_11_f000085|A groan followed. He had himself found a match, had struck it, had even burnt his fingers with it, yet he saw nothing.|A groan followed. He had himself found a match, had struck it, had even burnt his fingers with it, yet he saw nothing.
poisoned_pen_11_f000086|The blow had fallen. At almost the very hour which Prescott, by means of his weird telepagram had predicted, old Haswell was stricken.|The blow had fallen. At almost the very hour which Prescott, by means of his weird telepagram had predicted, old Haswell was stricken.
poisoned_pen_11_f000087|I'm blind, he gasped. Send for doctor Burnham. I went to him immediately when the maid roused me,|I'm blind, he gasped. Send for doctor Burnham. I went to him immediately when the maid roused me,
poisoned_pen_11_f000088|but there was nothing I could do except prescribe perfect rest for his eyes and keeping in a dark room in the hope that his sight might be restored as suddenly and miraculously as it had been taken away.|but there was nothing I could do except prescribe perfect rest for his eyes and keeping in a dark room in the hope that his sight might be restored as suddenly and miraculously as it had been taken away.
poisoned_pen_11_f000089|The next morning, with his own hand, trembling and scrawling in his blindness, he wrote the following on a piece of paper: Missis|The next morning, with his own hand, trembling and scrawling in his blindness, he wrote the following on a piece of paper: Missis
poisoned_pen_11_f000090|GRACE MARTIN. - Information wanted about the present whereabouts of Missis Grace Martin, formerly Grace Haswell of Brooklyn.|GRACE MARTIN. - Information wanted about the present whereabouts of Missis Grace Martin, formerly Grace Haswell of Brooklyn.
poisoned_pen_11_f000091|STEPHEN HASWELL, Pierrepont St., Brooklyn.|STEPHEN HASWELL, Pierrepont St., Brooklyn.
poisoned_pen_11_f000092|This advertisement he caused to be placed in all the New York papers and to be wired to the leading Western papers. Haswell himself was a changed man after his experience.|This advertisement he caused to be placed in all the New York papers and to be wired to the leading Western papers. Haswell himself was a changed man after his experience.
poisoned_pen_11_f000093|He spoke bitterly of Prescott, yet his attitude toward his daughter was completely reversed. Whether he admitted to himself a belief in the prediction of the inventor, I do not know.|He spoke bitterly of Prescott, yet his attitude toward his daughter was completely reversed. Whether he admitted to himself a belief in the prediction of the inventor, I do not know.
poisoned_pen_11_f000094|Certainly he scouted such an idea in telling me about it.|Certainly he scouted such an idea in telling me about it.
poisoned_pen_11_f000095|A day or two after the advertisements appeared a telegram came to the old man from a little town in Indiana. It read simply: Dear Father: Am starting for Brooklyn to-day.|A day or two after the advertisements appeared a telegram came to the old man from a little town in Indiana. It read simply: Dear Father: Am starting for Brooklyn to-day.
poisoned_pen_11_f000096|Grace. The upshot was that Grace Haswell, or rather Grace Martin, appeared the next day, forgave and was forgiven with much weeping, although the old man still refused resolutely to be reconciled with and receive her husband.|Grace. The upshot was that Grace Haswell, or rather Grace Martin, appeared the next day, forgave and was forgiven with much weeping, although the old man still refused resolutely to be reconciled with and receive her husband.
poisoned_pen_11_f000097|Missis Martin started in to clean up the old house. A vacuum cleaner sucked a ton or two of dust from it.|Missis Martin started in to clean up the old house. A vacuum cleaner sucked a ton or two of dust from it.
poisoned_pen_11_f000098|Everything was changed. Jane grumbled a great deal, but there was no doubt a great improvement. Meals were served regularly.|Everything was changed. Jane grumbled a great deal, but there was no doubt a great improvement. Meals were served regularly.
poisoned_pen_11_f000099|The old man was taken care of as never before. Nothing was too good for him. Everywhere the touch of a woman was evident in the house.|The old man was taken care of as never before. Nothing was too good for him. Everywhere the touch of a woman was evident in the house.
poisoned_pen_11_f000100|The change was complete. It even extended to me. Some friend had told her of an eye and ear specialist, a doctor Scott, who was engaged.|The change was complete. It even extended to me. Some friend had told her of an eye and ear specialist, a doctor Scott, who was engaged.
poisoned_pen_11_f000101|Since then, I understand, a new will has been made, much to the chagrin of the trustees of the projected school. Of course I am cut out of the new will,|Since then, I understand, a new will has been made, much to the chagrin of the trustees of the projected school. Of course I am cut out of the new will,
poisoned_pen_11_f000102|and that with the knowledge at least of the woman who once appealed to me, but it does not influence me in coming to you.|and that with the knowledge at least of the woman who once appealed to me, but it does not influence me in coming to you.
poisoned_pen_11_f000103|But what has happened since to arouse suspicion? asked Kennedy, watching the doctor furtively.|But what has happened since to arouse suspicion? asked Kennedy, watching the doctor furtively.
poisoned_pen_11_f000104|Why, the fact is that, in spite of all this added care, the old man is failing more rapidly than ever. He never goes out except attended and not much even then.|Why, the fact is that, in spite of all this added care, the old man is failing more rapidly than ever. He never goes out except attended and not much even then.
poisoned_pen_11_f000105|The other day I happened to meet Jane on the street.|The other day I happened to meet Jane on the street.
poisoned_pen_11_f000106|The faithful old soul poured forth a long story about his growing dependence on others and ended by mentioning a curious red discoloration that seems to have broken out over his face and hands.|The faithful old soul poured forth a long story about his growing dependence on others and ended by mentioning a curious red discoloration that seems to have broken out over his face and hands.
poisoned_pen_11_f000107|More from the way she said it than from what she said I gained the impression that something was going on which should be looked into.|More from the way she said it than from what she said I gained the impression that something was going on which should be looked into.
poisoned_pen_11_f000108|Then you perhaps think that Prescott and Missis Martin are in some way connected in this case? I hazarded.|Then you perhaps think that Prescott and Missis Martin are in some way connected in this case? I hazarded.
poisoned_pen_11_f000109|I had scarcely framed the question before he replied in an emphatic negative. On the contrary, it seems to me that if they know each other at all it is with hostility.|I had scarcely framed the question before he replied in an emphatic negative. On the contrary, it seems to me that if they know each other at all it is with hostility.
poisoned_pen_11_f000110|With the exception of the first stroke of blindness here he lowered his voice earnestly practically every misfortune that has overtaken mister Haswell has been since the advent of this new doctor Scott.|With the exception of the first stroke of blindness here he lowered his voice earnestly practically every misfortune that has overtaken mister Haswell has been since the advent of this new doctor Scott.
poisoned_pen_11_f000111|Mind, I do not wish even to breathe that Missis Martin has done anything except what a daughter should do.|Mind, I do not wish even to breathe that Missis Martin has done anything except what a daughter should do.
poisoned_pen_11_f000112|I think she has shown herself a model of forgiveness and devotion.|I think she has shown herself a model of forgiveness and devotion.
poisoned_pen_11_f000113|Nevertheless the turn of events under the new treatment has been so strange that almost it makes one believe that there might be something occult about it - or wrong with the new doctor.|Nevertheless the turn of events under the new treatment has been so strange that almost it makes one believe that there might be something occult about it - or wrong with the new doctor.
poisoned_pen_11_f000114|Would it be possible, do you think, for us to see mister Haswell?|Would it be possible, do you think, for us to see mister Haswell?
poisoned_pen_11_f000115|asked Kennedy, when doctor Burnham had come to a full stop after pouring forth his suspicions. I should like to see this doctor Scott.|asked Kennedy, when doctor Burnham had come to a full stop after pouring forth his suspicions. I should like to see this doctor Scott.
poisoned_pen_11_f000116|But first I should like to get into the old house without exciting hostility.|But first I should like to get into the old house without exciting hostility.
poisoned_pen_11_f000117|The doctor was thoughtful. You'll have to arrange that yourself, he answered. Can't you think up a scheme? For instance, go to him with a proposal like the old schemes he used to finance.|The doctor was thoughtful. You'll have to arrange that yourself, he answered. Can't you think up a scheme? For instance, go to him with a proposal like the old schemes he used to finance.
poisoned_pen_11_f000118|He is very much interested in electrical inventions. He made his money by speculation in telegraphs and telephones in the early days when they were more or less dreams.|He is very much interested in electrical inventions. He made his money by speculation in telegraphs and telephones in the early days when they were more or less dreams.
poisoned_pen_11_f000119|I should think a wireless system of television might at least interest him and furnish an excuse for getting in, although I am told his daughter discourages all tangible investment in the schemes that used to interest his active mind.|I should think a wireless system of television might at least interest him and furnish an excuse for getting in, although I am told his daughter discourages all tangible investment in the schemes that used to interest his active mind.
poisoned_pen_11_f000120|An excellent idea, exclaimed Kennedy. It is worth trying anyway.|An excellent idea, exclaimed Kennedy. It is worth trying anyway.
poisoned_pen_11_f000121|It is still early. Suppose we ride over to Brooklyn with you. You can direct us to the house and we'll try to see him.|It is still early. Suppose we ride over to Brooklyn with you. You can direct us to the house and we'll try to see him.
poisoned_pen_11_f000122|It was still light when we mounted the high steps of the house of mystery across the bridge. Missis Martin, who met us in the parlour, proved to be a stunning looking woman with brown hair and beautiful dark eyes.|It was still light when we mounted the high steps of the house of mystery across the bridge. Missis Martin, who met us in the parlour, proved to be a stunning looking woman with brown hair and beautiful dark eyes.
poisoned_pen_11_f000123|As far as we could see the old house plainly showed the change. The furniture and ornaments were of a period long past, but everything was scrupulously neat.|As far as we could see the old house plainly showed the change. The furniture and ornaments were of a period long past, but everything was scrupulously neat.
poisoned_pen_11_f000124|Hanging over the old marble mantel was a painting which quite evidently was that of the long since deceased Missis Haswell, the mother of Grace.|Hanging over the old marble mantel was a painting which quite evidently was that of the long since deceased Missis Haswell, the mother of Grace.
poisoned_pen_11_f000125|In spite of the hideous style of dress of the period after the war, she had evidently been a very beautiful woman with large masses of light chestnut hair and blue eyes which the painter had succeeded in catching with almost life-likeness for a portrait.|In spite of the hideous style of dress of the period after the war, she had evidently been a very beautiful woman with large masses of light chestnut hair and blue eyes which the painter had succeeded in catching with almost life-likeness for a portrait.
poisoned_pen_11_f000126|It took only a few minutes for Kennedy, in his most engaging and plausible manner, to state the hypothetical reason of our call.|It took only a few minutes for Kennedy, in his most engaging and plausible manner, to state the hypothetical reason of our call.
poisoned_pen_11_f000127|Though it was perfectly self-evident from the start that Missis Martin would throw cold water on anything requiring an outlay of money Craig accomplished his full purpose of securing an interview with mister Haswell.|Though it was perfectly self-evident from the start that Missis Martin would throw cold water on anything requiring an outlay of money Craig accomplished his full purpose of securing an interview with mister Haswell.
poisoned_pen_11_f000128|The invalid lay propped up in bed, and as we entered he heard us and turned his sightless eyes in our direction almost as if he saw.|The invalid lay propped up in bed, and as we entered he heard us and turned his sightless eyes in our direction almost as if he saw.
poisoned_pen_11_f000129|Kennedy had hardly begun to repeat and elaborate the story which he had already told regarding his mythical friend who had at last a commercial wireless televue,|Kennedy had hardly begun to repeat and elaborate the story which he had already told regarding his mythical friend who had at last a commercial wireless televue,
poisoned_pen_11_f000130|as he called it on the spur of the moment, when Jane, the aged caretaker, announced doctor Scott.|as he called it on the spur of the moment, when Jane, the aged caretaker, announced doctor Scott.
poisoned_pen_11_f000131|The new doctor was a youthfully dressed man, clean-shaven, but with an undefinable air of being much older than his smooth face led one to suppose.|The new doctor was a youthfully dressed man, clean-shaven, but with an undefinable air of being much older than his smooth face led one to suppose.
poisoned_pen_11_f000132|As he had a large practice, he said, he would beg our pardon for interrupting but would not take long.|As he had a large practice, he said, he would beg our pardon for interrupting but would not take long.
poisoned_pen_11_f000133|It needed no great powers of observation to see that the old man placed great reliance on his new doctor and that the visit partook of a social as well as a professional nature.|It needed no great powers of observation to see that the old man placed great reliance on his new doctor and that the visit partook of a social as well as a professional nature.
poisoned_pen_11_f000134|Although they talked low we could catch now and then a word or phrase. doctor Scott bent down and examined the eyes of his patient casually.|Although they talked low we could catch now and then a word or phrase. doctor Scott bent down and examined the eyes of his patient casually.
poisoned_pen_11_f000135|It was difficult to believe that they saw nothing, so bright was the blue of the iris.|It was difficult to believe that they saw nothing, so bright was the blue of the iris.
poisoned_pen_11_f000136|Perfect rest for the present, the doctor directed, talking more to Missis Martin than to the old man. Perfect rest, and then when his health is good,|Perfect rest for the present, the doctor directed, talking more to Missis Martin than to the old man. Perfect rest, and then when his health is good,
poisoned_pen_11_f000137|we shall see what can be done with that cataract.|we shall see what can be done with that cataract.
poisoned_pen_11_f000138|He was about to leave, when the old man reached up and restrained him, taking hold of the doctor's wrist tightly, as if to pull him nearer in order to whisper to him without being overheard.|He was about to leave, when the old man reached up and restrained him, taking hold of the doctor's wrist tightly, as if to pull him nearer in order to whisper to him without being overheard.
poisoned_pen_11_f000139|Kennedy was sitting in a chair near the head of the bed, some feet away, as the doctor leaned down. Haswell, still holding his wrist, pulled him closer.|Kennedy was sitting in a chair near the head of the bed, some feet away, as the doctor leaned down. Haswell, still holding his wrist, pulled him closer.
poisoned_pen_11_f000140|I could not hear what was said, though somehow I had an impression that they were talking about Prescott, for it would not have been at all strange if the old man had been greatly impressed by the alchemist.|I could not hear what was said, though somehow I had an impression that they were talking about Prescott, for it would not have been at all strange if the old man had been greatly impressed by the alchemist.
poisoned_pen_11_f000141|Kennedy, I noticed, had pulled an old envelope from his pocket and was apparently engaged in jotting down some notes, glancing now and then from his writing to the doctor and then to mister Haswell.|Kennedy, I noticed, had pulled an old envelope from his pocket and was apparently engaged in jotting down some notes, glancing now and then from his writing to the doctor and then to mister Haswell.
poisoned_pen_11_f000142|The doctor stood erect in a few moments and rubbed his wrist thoughtfully with the other hand, as if it hurt. At the same time he smiled on Missis|The doctor stood erect in a few moments and rubbed his wrist thoughtfully with the other hand, as if it hurt. At the same time he smiled on Missis
poisoned_pen_11_f000143|Martin. Your father has a good deal of strength yet, Missis Martin, he remarked. He has a wonderful constitution.|Martin. Your father has a good deal of strength yet, Missis Martin, he remarked. He has a wonderful constitution.
poisoned_pen_11_f000144|I feel sure that we can pull him out of this and that he has many, many years to live.|I feel sure that we can pull him out of this and that he has many, many years to live.
poisoned_pen_11_f000145|mister Haswell, who caught the words eagerly, brightened visibly, and the doctor passed out. Kennedy resumed his description of the supposed wireless picture apparatus which was to revolutionise the newspaper,|mister Haswell, who caught the words eagerly, brightened visibly, and the doctor passed out. Kennedy resumed his description of the supposed wireless picture apparatus which was to revolutionise the newspaper,
poisoned_pen_11_f000146|the theatre, and daily life in general.|the theatre, and daily life in general.
poisoned_pen_11_f000147|The old man did not seem enthusiastic and turned to his daughter with some remark.|The old man did not seem enthusiastic and turned to his daughter with some remark.
poisoned_pen_11_f000148|Just at present, commented the daughter, with an air of finality, the only thing my father is much interested in is a way in which to recover his sight without an operation.|Just at present, commented the daughter, with an air of finality, the only thing my father is much interested in is a way in which to recover his sight without an operation.
poisoned_pen_11_f000149|He has just had a rather unpleasant experience with one inventor. I think it will be some time before he cares to embark in any other such schemes.|He has just had a rather unpleasant experience with one inventor. I think it will be some time before he cares to embark in any other such schemes.
poisoned_pen_11_f000150|Kennedy and I excused ourselves with appropriate remarks of disappointment. From his preoccupied manner it was impossible for me to guess whether Craig had accomplished his purpose or not.|Kennedy and I excused ourselves with appropriate remarks of disappointment. From his preoccupied manner it was impossible for me to guess whether Craig had accomplished his purpose or not.
poisoned_pen_11_f000151|Let us drop in on doctor Burnham since we are over here, he said when we had reached the street. I have some questions to ask him.|Let us drop in on doctor Burnham since we are over here, he said when we had reached the street. I have some questions to ask him.
poisoned_pen_11_f000152|The former physician of mister Haswell lived not very far from the house we had just left. He appeared a little surprised to see us so soon, but very interested in what had taken place.|The former physician of mister Haswell lived not very far from the house we had just left. He appeared a little surprised to see us so soon, but very interested in what had taken place.
poisoned_pen_11_f000153|Who is this doctor Scott? asked Craig when we were seated in the comfortable leather chairs of the old-fashioned consulting-room.|Who is this doctor Scott? asked Craig when we were seated in the comfortable leather chairs of the old-fashioned consulting-room.
poisoned_pen_11_f000154|Really, I know no more about him than you do, replied Burnham.|Really, I know no more about him than you do, replied Burnham.
poisoned_pen_11_f000155|I thought I detected a little of professional jealousy in his tone, though he went on frankly enough,|I thought I detected a little of professional jealousy in his tone, though he went on frankly enough,
poisoned_pen_11_f000156|I have made inquiries and I can find out nothing except that he is supposed to be a graduate of some Western medical school and came to this city only a short time ago.|I have made inquiries and I can find out nothing except that he is supposed to be a graduate of some Western medical school and came to this city only a short time ago.
poisoned_pen_11_f000157|He has hired a small office in a new building devoted entirely to doctors and they tell me that he is an eye and ear specialist, though I cannot see that he has any practice.|He has hired a small office in a new building devoted entirely to doctors and they tell me that he is an eye and ear specialist, though I cannot see that he has any practice.
poisoned_pen_11_f000158|Beyond that I know nothing about him.|Beyond that I know nothing about him.
poisoned_pen_11_f000159|Your friend Prescott interests me, too, remarked Kennedy, changing the subject quickly.|Your friend Prescott interests me, too, remarked Kennedy, changing the subject quickly.
poisoned_pen_11_f000160|Oh, he is no friend of mine, returned the doctor, fumbling in a drawer of his desk. But I think I have one of his cards here which he gave me when we were introduced some time ago at mister|Oh, he is no friend of mine, returned the doctor, fumbling in a drawer of his desk. But I think I have one of his cards here which he gave me when we were introduced some time ago at mister
poisoned_pen_11_f000161|Haswell's. I should think it would be worth while to see him.|Haswell's. I should think it would be worth while to see him.
poisoned_pen_11_f000162|Although he has no use for me because I have neither money nor influence, still you might take this card. Tell him you are from the university,|Although he has no use for me because I have neither money nor influence, still you might take this card. Tell him you are from the university,
poisoned_pen_11_f000163|that I have interested you in him, that you know a trustee with money to invest - anything you like that is plausible.|that I have interested you in him, that you know a trustee with money to invest - anything you like that is plausible.
poisoned_pen_11_f000164|When are you going to see him?|When are you going to see him?
poisoned_pen_11_f000165|The first thing in the morning, replied Kennedy. After I have seen him I shall drop in for another chat with you. Will you be here?|The first thing in the morning, replied Kennedy. After I have seen him I shall drop in for another chat with you. Will you be here?
poisoned_pen_11_f000166|The doctor promised, and we took our departure.|The doctor promised, and we took our departure.
poisoned_pen_11_f000167|Prescott's laboratory, which we found the next day from the address on the card, proved to be situated in one of the streets near the waterfront under the bridge approach,|Prescott's laboratory, which we found the next day from the address on the card, proved to be situated in one of the streets near the waterfront under the bridge approach,
poisoned_pen_11_f000168|where the factories and warehouses clustered thickly.|where the factories and warehouses clustered thickly.
poisoned_pen_11_f000169|It was with a great deal of anticipation of seeing something happen that we threaded our way through the maze of streets with the cobweb structure of the bridge carrying its endless succession of cars arching high over our heads.|It was with a great deal of anticipation of seeing something happen that we threaded our way through the maze of streets with the cobweb structure of the bridge carrying its endless succession of cars arching high over our heads.
poisoned_pen_11_f000170|We had nearly reached the place when Kennedy paused and pulled out two pairs of glasses, those huge round tortoiseshell affairs.|We had nearly reached the place when Kennedy paused and pulled out two pairs of glasses, those huge round tortoiseshell affairs.
poisoned_pen_11_f000171|You needn't mind these, Walter, he explained. They are only plain glass, that is, not ground. You can see through them as well as through air.|You needn't mind these, Walter, he explained. They are only plain glass, that is, not ground. You can see through them as well as through air.
poisoned_pen_11_f000172|We must be careful not to excite suspicion. Perhaps a disguise might have been better, but I think this will=20do. There they add at least a decade to your age.|We must be careful not to excite suspicion. Perhaps a disguise might have been better, but I think this willtwentydo. There they add at least a decade to your age.
poisoned_pen_11_f000173|If you could see yourself you wouldn't speak to your reflection. You look as scholarly as a Chinese mandarin. Remember, let me do the talking and do just as I do.|If you could see yourself you wouldn't speak to your reflection. You look as scholarly as a Chinese mandarin. Remember, let me do the talking and do just as I do.
poisoned_pen_11_f000174|We had now entered the shop, stumbled up the dark stairs, and presented doctor Burnham's card with a word of explanation along the lines which he had suggested.|We had now entered the shop, stumbled up the dark stairs, and presented doctor Burnham's card with a word of explanation along the lines which he had suggested.
poisoned_pen_11_f000175|Prescott, surrounded by his retorts, crucibles, burettes, and condensers, received us much more graciously than I had had any reason to anticipate.|Prescott, surrounded by his retorts, crucibles, burettes, and condensers, received us much more graciously than I had had any reason to anticipate.
poisoned_pen_11_f000176|He was a man in the late forties, his face covered with a thick beard, and his eyes, which seemed a little weak, were helped out with glasses almost as scholarly as ours.|He was a man in the late forties, his face covered with a thick beard, and his eyes, which seemed a little weak, were helped out with glasses almost as scholarly as ours.
poisoned_pen_11_f000177|I could not help thinking that we three bespectacled figures lacked only the flowing robes to be taken for a group of medieval alchemists set down a few centuries out of our time in the murky light of Prescott's sanctum.|I could not help thinking that we three bespectacled figures lacked only the flowing robes to be taken for a group of medieval alchemists set down a few centuries out of our time in the murky light of Prescott's sanctum.
poisoned_pen_11_f000178|Yet, though he accepted us at our face value, and began to talk of his strange discoveries there was none of the old familiar prating about matrix and flux,|Yet, though he accepted us at our face value, and began to talk of his strange discoveries there was none of the old familiar prating about matrix and flux,
poisoned_pen_11_f000179|elixir, magisterium, magnum opus, the mastery and the quintessence, those alternate names for the philosopher's stone which Paracelsus, Simon Forman,|elixir, magisterium, magnum opus, the mastery and the quintessence, those alternate names for the philosopher's stone which Paracelsus, Simon Forman,
poisoned_pen_11_f000180|Jerome Cardan, and the other medieval worthies indulged in.|Jerome Cardan, and the other medieval worthies indulged in.
poisoned_pen_11_f000181|This experience at least was as up-to-date as the Curies, Becquerel, Ramsay, and the rest.|This experience at least was as up-to-date as the Curies, Becquerel, Ramsay, and the rest.
poisoned_pen_11_f000182|Transmutation, remarked Prescott, was, as you know, finally declared to be a scientific absurdity in the eighteenth century.|Transmutation, remarked Prescott, was, as you know, finally declared to be a scientific absurdity in the eighteenth century.
poisoned_pen_11_f000183|But I may say that it is no longer so regarded. I do not ask you to believe anything until you have seen; all I ask is that you maintain the same open mind which the most progressive scientists of to-day exhibit in regard to the subject.|But I may say that it is no longer so regarded. I do not ask you to believe anything until you have seen; all I ask is that you maintain the same open mind which the most progressive scientists of to-day exhibit in regard to the subject.
poisoned_pen_11_f000184|Kennedy had seated himself some distance from a curious piece or rather collection of apparatus over which Prescott was working. It consisted of numerous coils and tubes.|Kennedy had seated himself some distance from a curious piece or rather collection of apparatus over which Prescott was working. It consisted of numerous coils and tubes.
poisoned_pen_11_f000185|It may seem strange to you, gentlemen, Prescott proceeded, that a man who is able to produce gold from, say, copper should be seeking capital from other people.|It may seem strange to you, gentlemen, Prescott proceeded, that a man who is able to produce gold from, say, copper should be seeking capital from other people.
poisoned_pen_11_f000186|My best answer to that old objection is that I am not seeking capital, as such. The situation with me is simply this. Twice I have applied to the patent office for a patent on my invention.|My best answer to that old objection is that I am not seeking capital, as such. The situation with me is simply this. Twice I have applied to the patent office for a patent on my invention.
poisoned_pen_11_f000187|They not only refuse to grant it, but they refuse to consider the application or even to give me a chance to demonstrate my process to them.|They not only refuse to grant it, but they refuse to consider the application or even to give me a chance to demonstrate my process to them.
poisoned_pen_11_f000188|On the other hand, suppose I try this thing secretly. How can I prevent any one from learning my trade secret, leaving me, and making gold on his own account?|On the other hand, suppose I try this thing secretly. How can I prevent any one from learning my trade secret, leaving me, and making gold on his own account?
poisoned_pen_11_f000189|Men will desert as fast as I educate them.|Men will desert as fast as I educate them.
poisoned_pen_11_f000190|Think of the economic result of that; it would turn the world topsy-turvy. I am looking for some one who can be trusted to the last limit to join with me,|Think of the economic result of that; it would turn the world topsy-turvy. I am looking for some one who can be trusted to the last limit to join with me,
poisoned_pen_11_f000191|furnish the influence and standing while I furnish the brains and the invention.|furnish the influence and standing while I furnish the brains and the invention.
poisoned_pen_11_f000192|Either we must get the government interested and sell the invention to it, or we must get government protection and special legislation.|Either we must get the government interested and sell the invention to it, or we must get government protection and special legislation.
poisoned_pen_11_f000193|I am not seeking capital; I am seeking protection. First let me show you something.|I am not seeking capital; I am seeking protection. First let me show you something.
poisoned_pen_11_f000194|He turned a switch, and a part of the collection of apparatus began to vibrate.|He turned a switch, and a part of the collection of apparatus began to vibrate.
poisoned_pen_11_f000195|You are undoubtedly acquainted with the modern theories of matter, he began, plunging into the explanation of his process.|You are undoubtedly acquainted with the modern theories of matter, he began, plunging into the explanation of his process.
poisoned_pen_11_f000196|Starting with the atom, we believe no longer that it is indivisible. Atoms are composed of thousands of ions, as they are called, - really little electric charges.|Starting with the atom, we believe no longer that it is indivisible. Atoms are composed of thousands of ions, as they are called, - really little electric charges.
poisoned_pen_11_f000197|Again, you know that we have found that all the elements fall into groups. Each group has certain related atomic weights and properties which can be and have been predicted in advance of the discovery of missing elements in the group.|Again, you know that we have found that all the elements fall into groups. Each group has certain related atomic weights and properties which can be and have been predicted in advance of the discovery of missing elements in the group.
poisoned_pen_11_f000198|I started with the reasonable assumption that the atom of one element in a group could be modified so as to become the atom of another element in the group,|I started with the reasonable assumption that the atom of one element in a group could be modified so as to become the atom of another element in the group,
poisoned_pen_11_f000199|that one group could perhaps be transformed into another, and so on, if only I knew the force that would change the number or modify the vibrations of these ions composing the various atoms.|that one group could perhaps be transformed into another, and so on, if only I knew the force that would change the number or modify the vibrations of these ions composing the various atoms.
poisoned_pen_11_f000200|Now for years I have been seeking that force or combination of forces that would enable me to produce this change in the elements - raising or lowering them in the scale, so to speak.|Now for years I have been seeking that force or combination of forces that would enable me to produce this change in the elements - raising or lowering them in the scale, so to speak.
poisoned_pen_11_f000201|I have found it. I am not going to tell you or any other man whom you may interest the secret of how it is done until I find some one I can trust as I trust myself.|I have found it. I am not going to tell you or any other man whom you may interest the secret of how it is done until I find some one I can trust as I trust myself.
poisoned_pen_11_f000202|But I am none the less willing that you should see the results. If they are not convincing, then nothing can be.|But I am none the less willing that you should see the results. If they are not convincing, then nothing can be.
poisoned_pen_11_f000203|He appeared to be debating whether to explain further, and finally resumed: Matter thus being in reality a manifestation of force or ether in motion,|He appeared to be debating whether to explain further, and finally resumed: Matter thus being in reality a manifestation of force or ether in motion,
poisoned_pen_11_f000204|it is necessary to change and control that force and motion.|it is necessary to change and control that force and motion.
poisoned_pen_11_f000205|This assemblage of machines here is for that purpose.|This assemblage of machines here is for that purpose.
poisoned_pen_11_f000206|Now a few words as to my theory.|Now a few words as to my theory.
poisoned_pen_11_f000207|He took a pencil and struck a sharp blow on the table. There you have a single blow, he said, just one isolated noise. Now if I strike this tuning fork you have a vibrating note.|He took a pencil and struck a sharp blow on the table. There you have a single blow, he said, just one isolated noise. Now if I strike this tuning fork you have a vibrating note.
poisoned_pen_11_f000208|In other words, a succession of blows or wave vibrations of a certain kind affects the ear and we call it sound, just as a succession of other wave vibrations affects the retina and we have sight.|In other words, a succession of blows or wave vibrations of a certain kind affects the ear and we call it sound, just as a succession of other wave vibrations affects the retina and we have sight.
poisoned_pen_11_f000209|If a moving picture moves slower than a certain number of pictures a minute you see the separate pictures; faster it is one moving picture.|If a moving picture moves slower than a certain number of pictures a minute you see the separate pictures; faster it is one moving picture.
poisoned_pen_11_f000210|Now as we increase the rapidity of wave vibration and decrease the wave length we pass from sound waves to heat waves or what are known as the infra-red waves,|Now as we increase the rapidity of wave vibration and decrease the wave length we pass from sound waves to heat waves or what are known as the infra-red waves,
poisoned_pen_11_f000211|those which lie below the red in the spectrum of light.|those which lie below the red in the spectrum of light.
poisoned_pen_11_f000212|Next we come to light, which is composed of the seven colours as you know from seeing them resolved in a prism. After that are what are known as the ultra-violet rays,|Next we come to light, which is composed of the seven colours as you know from seeing them resolved in a prism. After that are what are known as the ultra-violet rays,
poisoned_pen_11_f000213|which lie beyond the violet of white light.|which lie beyond the violet of white light.
poisoned_pen_11_f000214|We also have electric waves, the waves of the alternating current, and shorter still we find the Hertzian waves, which are used in wireless.|We also have electric waves, the waves of the alternating current, and shorter still we find the Hertzian waves, which are used in wireless.
poisoned_pen_11_f000215|We have only begun to know of X-rays and the alpha, beta, and gamma rays from them, of radium, radioactivity, and finally of this new force which I have discovered and call protodyne, the original force.|We have only begun to know of X-rays and the alpha, beta, and gamma rays from them, of radium, radioactivity, and finally of this new force which I have discovered and call protodyne, the original force.
poisoned_pen_11_f000216|In short, we find in the universe Matter, Force, and Ether. Matter is simply ether in motion, is composed of corpuscles, electrically charged ions,|In short, we find in the universe Matter, Force, and Ether. Matter is simply ether in motion, is composed of corpuscles, electrically charged ions,
poisoned_pen_11_f000217|or electrons, moving units of negative electricity about one one-thousandth part of the hydrogen atom.|or electrons, moving units of negative electricity about one one-thousandth part of the hydrogen atom.
poisoned_pen_11_f000218|Matter is made up of electricity and nothing but electricity. Let us see what that leads to. You are acquainted with Mendeleeff's periodic table?|Matter is made up of electricity and nothing but electricity. Let us see what that leads to. You are acquainted with Mendeleeff's periodic table?
poisoned_pen_11_f000219|He drew forth a huge chart on which all the eighty or so elements were arranged in eight groups or octaves and twelve series.|He drew forth a huge chart on which all the eighty or so elements were arranged in eight groups or octaves and twelve series.
poisoned_pen_11_f000220|Selecting one, he placed his finger on the letters Au, under which was written the number, 197.2. I wondered what the mystic letters and figures meant.|Selecting one, he placed his finger on the letters Au, under which was written the number, one hundred ninety-seven point two. I wondered what the mystic letters and figures meant.
poisoned_pen_11_f000221|That, he explained, is the scientific name for the element gold and the figure is its atomic weight. You will see, he added, pointing down the second vertical column on the chart,|That, he explained, is the scientific name for the element gold and the figure is its atomic weight. You will see, he added, pointing down the second vertical column on the chart,
